"ensembl_gene_id","external_gene_name","hsapiens_homolog_ensembl_gene","hsapiens_homolog_associated_gene_name"
"ENSMUSG00000040591","1110051M20Rik","ENSG00000149179","C11orf49"
"ENSMUSG00000072949","Acot1","ENSG00000184227","ACOT1"
"ENSMUSG00000030935","Acsm3","ENSG00000005187","ACSM3"
"ENSMUSG00000061393","Acvr2b","ENSG00000114739","ACVR2B"
"ENSMUSG00000033717","Adra2a","ENSG00000150594","ADRA2A"
"ENSMUSG00000029094","Afap1","ENSG00000196526","AFAP1"
"ENSMUSG00000033032","Afap1l1","ENSG00000157510","AFAP1L1"
"ENSMUSG00000036231","Agr3","ENSG00000173467","AGR3"
"ENSMUSG00000041323","Ak7","ENSG00000140057","AK7"
"ENSMUSG00000053644","Aldh7a1","ENSG00000164904","ALDH7A1"
"ENSMUSG00000063810","Alms1","ENSG00000116127","ALMS1"
"ENSMUSG00000031465","Angpt2","ENSG00000091879","ANGPT2"
"ENSMUSG00000071847","Apcdd1","ENSG00000154856","APCDD1"
"ENSMUSG00000022892","App","ENSG00000142192","APP"
"ENSMUSG00000004655","Aqp1","ENSG00000240583","AQP1"
"ENSMUSG00000024411","Aqp4","ENSG00000171885","AQP4"
"ENSMUSG00000033697","Arhgap39","ENSG00000147799","ARHGAP39"
"ENSMUSG00000021662","Arhgef28","ENSG00000214944","ARHGEF28"
"ENSMUSG00000037509","Arhgef4","ENSG00000136002","ARHGEF4"
"ENSMUSG00000049866","Arl4c","ENSG00000188042","ARL4C"
"ENSMUSG00000009248","Ascl2","ENSG00000183734","ASCL2"
"ENSMUSG00000033952","Aspm","ENSG00000066279","ASPM"
"ENSMUSG00000047767","Atg16l2","ENSG00000168010","ATG16L2"
"ENSMUSG00000034218","Atm","ENSG00000149311","ATM"
"ENSMUSG00000031441","Atp11a","ENSG00000068650","ATP11A"
"ENSMUSG00000032409","Atr","ENSG00000175054","ATR"
"ENSMUSG00000000142","Axin2","ENSG00000168646","AXIN2"
"ENSMUSG00000032263","Bckdhb","ENSG00000083123","BCKDHB"
"ENSMUSG00000057329","Bcl2","ENSG00000171791","BCL2"
"ENSMUSG00000029438","Bcl7a","ENSG00000110987","BCL7A"
"ENSMUSG00000072964","Bhlhb9","ENSG00000198908","BHLHB9"
"ENSMUSG00000061132","Blnk","ENSG00000095585","BLNK"
"ENSMUSG00000041147","Brca2","ENSG00000139618","BRCA2"
"ENSMUSG00000019945","Cabcoco1","ENSG00000183346","CABCOCO1"
"ENSMUSG00000028532","Cachd1","ENSG00000158966","CACHD1"
"ENSMUSG00000032373","Car12","ENSG00000074410","CA12"
"ENSMUSG00000025887","Casp12","ENSG00000204403","CASP12"
